Authority Terms,Mention only?,Researcher/Date,AltLastName,AltMiddleName,AltFirstName,Maiden Name,Title,AssociatedPlaces,Birth Place,Death Place,Place of Residence,Source for Places,Birth Date,Death Date,Marriage Date,Source for Dates,Spouse,Occupation,Occupation Source,Gender,Languages,Religions,Religions Source,Organizations,Organizations Source,Associated Letters,PRINT ID,LOD - WikiData,LOD - VIAF,LOD - LOC,Notes,HSP,LSF,SAA,SBB,AFSt,Barclay,Spence,Abraham,Incomplete?,
"Meer, Claessen Mewes Ter",False,,Mear; Mier; Meyer; Meier; Meijer,,Claus; Niclaus; Klas; Clas; Klaes; Klaessen; Klassen; Klasen,,,,,,,,,,,,,,,Male,,,,,,,P000530,,,,,,,1.0,,,,,,,
"Meer, Johann Van Der",False,,Vandermer; Mear; Meere; Vermeer; Vemeren; Vermeeren,,Johannes; Jan; Johannes; Johan,,,,,,,,,,,,,,,Male,,,,Krefeld Congregation,,,P001005,,,,,,,1.0,,,,,,,
"Mehder, Johann Christoph",False,AMF 4/22/2025,,,,,,"London, England; Halle, Saxony-Anhalt, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F67&dm=1&dokref=1&indx=%23F211%23&auft=Mehder%2C+Johann+Christoph}}","Sömmerda, Thuringia, Germany {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F67&dm=1&dokref=1&indx=%23F211%23&auft=Mehder%2C+Johann+Christoph}}",,,,,after 1699-00-00 {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F67&dm=1&dokref=1&indx=%23F211%23&auft=Mehder%2C+Johann+Christoph}},,,,teacher {{https://archiv.francke-halle.de/hzeig.FAU?sid=DC14909F67&dm=1&dokref=1&indx=%23F211%23&auft=Mehder%2C+Johann+Christoph}},,,,,,,,,,,,,,,,,,1.0,,,,,
"Meier, Ulrich",False,,Meer; Mier; Mear; Meyer; Meijer,,Ulrik; Ulric; Ulrig; Uli,,,,,,,,,,,,,,,Male,,,,,,,P000955,,,,,,,1.0,,,,,,,
"Meurs, Aelbert Van",False,,Moors; Murs; Moers; Maurs,,Albert; Aldert; Albregt,,,,"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam, Netherlands",,ca. 1640,1712-03-09,,,,Preacher,,Male,Dutch,Mennonite,,Rotterdam Congregation; Waterlander Congregation,,,P001006,,,,,,,1.0,,,,,,,
"Mew, Richard",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001007,,,,,1.0,,,,,,,,,
"Meyer, Samuel",False,,Meier; Mear; Meer; Mier; Meijer; Moyerl Mayer; Myer,,Samwell; Samuël,,,,,,,,,,,,,,,Male,,,,,,,P000110,,,,,,,1.0,,,,,,,
"Miller, Heinrich",False,,,,,,,,,,,,,,,,,,,Male,,,,Immelhause Congregation,,,P001009,,,,,,,1.0,,,,,,,
"Millner, Richard",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001008,,,,,1.0,,,,,,,,,
"Millner, Susannah",False,,,,,,,"sign of the Red Lion, Wood Street, London, England","Skipton, Yorkshire, England",,"London, England",,1659,,,,,,,Female,English,,,,,,P000531,,,,,1.0,,,,,,,,,
"Milner, Hans Heinrich",False,,Miller; Müller; Mulde; Muller,,Hannes,,,,,,,,,,,,,,,Male,,,,,,,P000111,,,,,,,1.0,,,,,,,
"Moekle, Benedict",False,,Moeckel; Moerke; Moeck; Mochel; Möckel,,Barten; Bentz; Benedicht; Benedikt,,,,,,,,,,,,,,,Male,,,,Immelhause Congregation,,,P001010,,,,,,,1.0,,,,,,,
"Molleson, Gilbert",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001011,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Molyneaux, Nathaniel",False,,Mollineux; Molinex,,Othniel,,,,,,,,,,,,,,,Male,English,,,,,,P000532,,,,,1.0,,,,,,,,,
"Molyneux, Thomas",False,,Molinex; Mollineux,,,,,,,,,,,,,,,,,Male,English,,,,,,P000112,,,,,1.0,,,,,,,,,
"Moon, Anne",False,,Moone,,Ann,,,"Bristol, Gloucestershire, England; Marlborough, Wiltshire, England","Bolton, Lancashire, England",,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/86/,,,,,,,,Female,English,,,,,16106,P001113,,,,,1.0,,,,,,,,,
"Moon, John",False,,Moone,,,,,"Bristol, Gloucestershire, England; Marlborough, Wiltshire, England","[Bristol, Gloucestershire, England]",,,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/300/,,,,,,,,Male,English,,,,,,P000113,,,,,1.0,,,,,,,,,
"Moor, Joseph De",False,,Meur; Moer; Mur; Maur,,Josef; Jozef; Jusuf; Joesoef,,,,,,,,,,,,,,,Male,,,,Middelburg Congregation,,16100,P000533,,,,,,,1.0,,,,,,,
"Moore, John",False,BNC 11/27/2024,,,,,,,,,,,,,,,,,,,,,,,,,P001012,,,,possible hit {{https://msa.maryland.gov/megafile/msa/speccol/sc3500/sc3520/002100/002185/notes/steele.dir/parsonstech/genealogy/trees/jgordon/d128.htm}},,1.0,,,,,1.0,,,
"Moore, Mary",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,,,,,,1.0,,,,,,,,,
"Moore, Thomas",False,BNC 12/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,P000534,,,,"{{Thomas Moore - Wikidata possible hit, makes sense contextually from letters}}",,1.0,,,,,1.0,,,
"Morgan, Edward",False,,,,,,,"Philadelphia, Pennsylvania;
Chester, Cheshire, England",,,,Chester - DAMS #16125,,,,,,shoemaker,https://stars.library.ucf.edu/printmigrationnetwork-pemberton/323/,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Morris, Anthony",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16125,P000114,,,,,1.0,,,,,,,,,
"Moseley, […], Judge",False,,,,,,Judge,"Lancaster, Lancashire, England",,,,,,,,,,judge,,Male,English,,,,,15752,P000802,,,,,1.0,,,,,,,,,
"Moser, Peter",False,BNC 12/9/2024,,,,,,,,,,,,,,,,,,,,,,,,,P000535,n.a,n.a,n.a,,,1.0,,,,,1.0,,,
"Mosley, Hugh",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Moss, Edward",True,CLW 3/10/24,Moass,,Edwa,,,,,,,,,,,,,,,Male,English,,,,,16081,P001144,,,,,1.0,,,,,,,,,
"Moss, Isaac",True,AIN 4/22/2025,Mosse,,,,Sr.,"Manchester, England {{https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1209&context=printmigrationnetwork-pemberton-hires}}",,"Manchester, England [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837 ]]","Manchester, England {{https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1209&context=printmigrationnetwork-pemberton-hires}}",,,"1691-02-3 [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837 ]]",,,Mary Moss,,,Male,English,Quaker,,,,15975,P000536,,,,There is an Isaac Moss Jr.,1.0,,,,,,,,,
"Moss, Mary",True,AIN 4/22/2025,Mosse,,,,,"Manchester, England {{https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1064&context=printmigrationnetwork-pemberton-hires}}",,"Manchester, England {{https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1064&context=printmigrationnetwork-pemberton-hires}}","Manchester, England {{https://stars.library.ucf.edu/cgi/viewcontent.cgi?article=1064&context=printmigrationnetwork-pemberton-hires}}",,,"1677-01-01  [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837 ]]",,,Isaac Moss Sr.,,,Female,English,Quaker,,,,16084; 15797,P000537,,,,There are two Mary Moss's. This entry is Mary Moss married to Isaac Moss Sr. Another is Mary (nee Monk) Moss married to Isaac Moss Jr. ,1.0,,,,,,,,,
"Mott, James",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000538,,,,,1.0,,,,,,,,,
"Mulder, Claus",False,,Miller; Müller; Mulde; Muller,,Niclaus; Klas; Clas; Klaes; Klaessen; Klassen; Klasen; Claes,,,,,,,,,,,,,,,Male,,,,,,,P000539,,,,,,,1.0,,,,,,,
"Muller, Jacob",False,,Mulder; Müller; Miller; Mulde,,Jakob; Jacop; Jakop,,,,,,,,,,,,,,,Male,,,,Rotterdam Congregation,,,P001013,,,,,,,1.0,,,,,,,
"Mullinax, William",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001014,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Munster, Jan Elias",False,,Münster; Monster,,John; Johan; Johannes,,,,"Glückstadt, Germany",,"Hamburg, Germany; Altona, Germany",,,1716,,,,Merchant; Deacon,,Male,German,Mennonite,,Hamburg-Altona Congregation,,,P000540,,,,,,,1.0,,,,,,,
"Musgrove, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001015,,,,,1.0,,,,,,,,,
"Nageli, Hans Rudolf",False,,Nagel; Naegele; Nagele; Nägeli,,Hannes; Hanß,,,,,,"Rheinpfalz, Germany",,,,,,,Minister,,Male,German,Anabaptist,,,,,P000541,,,,,,,1.0,,,,,,,
"Naylor, Thomas",False,,,,,,,"Wigan, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,,,,,"Confusingly, this may be one ""Thomas James Naylor""",1.0,,,,,,,,,
"Needham, John",False,,Needam,,,,,,,,,,,,,,,,,Male,English,,,,,15825,P000542,,,,,1.0,,,,,,,,,
"Neufville, David Matheus De",False,,Neuville; Newville; Nieuvill,,,,,,,,,,,,,,,,,Male,,Mennonite,,Congregation of the Toren,,,P000543,,,,,,,1.0,,,,,,,
"Newton, Samuel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Nicholls, John",False,,"Nichols, Nicholson",,,,,,,,,,,,,,,,,Male,English,,,,,,P000544,,,,,1.0,,,,,,,,,
"Nicholson, Nathaniel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000115,,,,,1.0,,,,,,,,,
"Nicholson, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000545,,,,,1.0,,,,,,,,,
"Nicholson, Timothy",False,,Nickalson,,Timathy,,,,,,,,,,,,,,,Male,English,,,,,15881,P000546,,,,,1.0,,,,,,,,,
"Nieuman, Pieter",False,,Neuman; Newman; Nieumann,,Peter; Petter; Peder,,,,,,,,,,,,,,,Male,,,,Zutphen Congregation,,,P000547,,,,,,,1.0,,,,,,,
"Nixon, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001018,,,,,1.0,,,,,,,,,
"Norrell, Mary",False,,Sorrell; Orrell,,,,,,,,,,,,,,,,,Female,English,,,,,15845,P000548,,,,,1.0,,,,,,,,,
"Nuridschanjan, Lukas",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Oberholtzer, Martin",False,,Oberhöltz; Oberholzer; Overholser; Overholt,,Martine,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,1.0,,,,,,,
"Ochs, Johannes Rudolf",False,,Ox; Auchs; Oks,,John; Jan; Johan,,,,,,,,,,,,,,,Male,,,,,,,P001019,,,,,,,1.0,,,,,,,
"Ogden, Abraham",False,AIN 3/6/2025,,,,,,"Brighouse, England [[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]",,"Brighouse, England 
[[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]","Brighouse, England  [[England & Wales, Society Of Friends (Quaker) Marriages 1578-1841]]",,,"1702/1703-03-24[[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]","1679-03-10; 1701-05-07 [[England & Wales, Society Of Friends (Quaker) Marriages 1578-1841]]",,"Grace Wadington; Margrett Bothemly [[England & Wales, Society Of Friends (Quaker) Marriages 1578-1841]]",,,Male,English,Quaker,,,,16051,P001020,,,,,1.0,,,,,,,,,
"Olijslager, Gerrit",False,,Olyslager; Olieslager,,Gerrett; Geret; Gerard; Gerart,,,,,,,,,,,,,,,Male,,,,,,,P000116,,,,,,,1.0,,,,,,,
"Orrell, Margaret",False,CLW 12/3/24,Sorrell; Norrell,,,,,,,,,,,,,,,,,Female,English,,,,,15768,P001134,,,,,1.0,,,,,,,,,
"Orrell, Peter",False,,Sorrell; Norrell,,,,,,,,"Aspull, Lancashire, England$t1666","""Townships: Aspull,"" in A History of the County of Lancaster: Volume 4, ed. William Farrer and J Brownbill (London: Victoria County History, 1911), 118-122. British History Online, accessed January 9, 2024, http://www.british-history.ac.uk/vch/lancs/vol4/pp118-122.",,,,,,,,Male,English,,,,,,P001021,,,,"A ""Peter Warral"" is listed among cattle owners in Bucks County, 1684",1.0,,,,,,,,,
"Osborne, William",False,,,,,,,,,,,,,,,,,,,,,,,,,15825,P000550,n.a.,,,,,1.0,,,,,1.0,,,
"Osgood, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Outerlo, Wouter",False,,Outerso,,,,,,,,,,,,,,,,,Male,English,,,,,15913,P000551,,,,,1.0,,,,,,,,,
"Owen, Elizabeth",False,,,,,,,"London, England",,,,,,,,,,,,Female,English,,,,,,P000552,,,,,1.0,,,,,,,,,
"Owen, Robert",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,16006,P000554,,,,,1.0,,,,,,,,,
"Pagiter, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000555,,,,,1.0,,,,,,,,,
"Park, Roger",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000556,,,,,1.0,,,,,,,,,
"Parr, Samuel",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,15831,P000559,,,,,1.0,,,,,,,,,
"Parr, Susan",False,,,,,,,,,,,,,,,,,,,Female,English,,,,,,P000560,,,,,1.0,,,,,,,,,
"Parr, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000561,,,,,1.0,,,,,,,,,
"Parsons, Ellen",False,,,,Ellin,,,,,,,,,,,,,,,Female,English,,,,,,P000562,,,,,1.0,,,,,,,,,
"Patridge, James",False,,Partridge,,,,,,,,,,,,,,,,,Male,English,,,,,,P000563,,,,,1.0,,,,,,,,,
"Paulini, Andreas",False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
"Payton, Henry",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000118,,,,,1.0,,,,,,,,,
"Peakes, Thomas",False,,Pecke,,,,,,,,,,,,,,,,,Male,English,,,,,15830,P000119,,,,,1.0,,,,,,,,,
"Pearcey, Benony",True,,Pearcy,,Benoni,,,,,,Barbados,,,,,,,,,Male,English,,,,,,P000564,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Pearson, Anthony",False,BNC 12/16/2024,,,,,,,,,,,ca. 1628,1666,ca. 1652,,,,,Male,English,,,,,,P000565,,,,executor of Thomas Fell's will (Bonnelyn Young Kunze. 1993. Margaret Fell and the Rise of Quakerism. Palgrave Macmillan.),,1.0,,,,,1.0,,,
"Pemberton, Ellen",False,,,,Ellin,,,,,,,,,,,,,,,Female,English,,,,,,P000566,,,,,1.0,,,,,,,,,
"Pemberton, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000123,,,,,1.0,,,,,,,,,
"Penketh, J…",False,,Penket,,,,,,,,,,,,,,,,,Male,English,,,,,16164,P000817,,,,,1.0,,,,,,,,,
"Penner, David",False,,Panner; Penna,,,,,,,,,,,,,,,,,Male,,,,,,,P000130,,,,,,,1.0,,,,,,,
"Pennyman, John",False,,Penniman,,,,,,,,,,1628-08-14,1706-07-02,,"https://en.wikisource.org/wiki/Dictionary_of_National_Biography,_1885-1900/Pennyman,_John",,,,Male,English,,,,,16001,P001022,,,,,1.0,,,,,,,,,
"Perrot, Henry",False,,Parrot,,,,,,,,,,,,,,,,,Male,English,,,,,,,,,,,1.0,,,,,,,,,
"Peters, Christian",False,,Pieters; Petters,,Kristian; Christe; Christiaan,,,,,,,,,,,,,,,Male,,,,,,16155,P000568,,,,,,,1.0,,,,,,,
"Pfalz, Kurfürstin Von Der",False,,,,,,Kurfürstin,,,,,,,,,,,,,,,,,,,,,,,,AMF - this is Wilhelmine Ernestine ,,,,,1.0,,,,,
"Phlein, Christiaan",False,,Plein; Flein; Phelein,,Christian; Kristian; Christe,,,,,,"Rheinpfalz, Germany",,,,,,,Elder,,Male,German,Mennonite,,,,,P001023,,,,,,,1.0,,,,,,,
"Pieterszoon, Jans Melschert",False,,Peterson; Pieterson; Pieterszon; Pietersz,,Jansz; Johan; Johannes; John,,,,,,,,,,,,,,,Male,,,,,,,P001024,,,,,,,1.0,,,,,,,
"Pijpers, Cornelis",False,,Pypers; Piepers,,Cornelius; Kornelis; Kornelius,,,,,,,,,,,,,,,Male,,,,Rotterdam Congregation,,,P001025,,,,,,,1.0,,,,,,,
"Pike, Mary",False,AIN 3/7/2025,Pyke,,,Thompson,,Barbados  {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton-hires/270/}},,,Barbados {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton-hires/270/}}; {{https://www.familysearch.org/ark:/61903/1:1:QJ8R-RDCR?lang=en}} ,,,,"1694-08-21;  1697-07-04 [[Caribbean, English Settlers in Barbados, 1637-1800, 84]]; [[Barbados, Church Records, 1637-1930]]",,"Joseph Pike; Enoch Gould [[Caribbean, English Settlers in Barbados, 1637-1800, 84]]; [[Barbados, Church Records, 1637-1930]]",,,Female,English,,,,,,P000131,,,,,1.0,,,,,,,,,
"Pike, Susannah",False,AIN 4/8/2025,Pyke,,Susanna,Smith,,"Charlestown, Boston {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton/202/}}",,"Charlestown, Boston [[The genealogies and estates of Charlestown : in the county of Middlesex and commonwealth of Massachusetts, 1629-1818]]","Charlestown, Boston [[The genealogies and estates of Charlestown : in the county of Middlesex and commonwealth of Massachusetts, 1629-1818 ]]",,,"1688-10-27 [[The genealogies and estates of Charlestown : in the county of Middlesex and commonwealth of Massachusetts, 1629-1818]]","1680-11-10 [[Massachusetts, Town Clerk, Vital and Town Records, 1626-2001]]",,"Joseph Pike [[Massachusetts, Town Clerk, Vital and Town Records, 1626-2001]]",,,Female,English,,,,,15986,P000132,,,,,1.0,,,,,,,,,
"Pilgrim, Thomas",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000133,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Pitt, John",False,,,,,,,"Talbot County, Maryland",,,,https://www.thirdhaven.org/his.html,,,,,,,,Male,English,,,,,,P000571,,,,,1.0,,,,,,,,,
"Poole, Mary",False,,Pool,,,,,,,,,,,,,,,,,Female,English,,,,,16155,P000572,,,,,1.0,,,,,,,,,
"Poole, Nehemiah",False,,Pool,,,,,"London, England; Liverpool, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000573,,,,home was ,1.0,,,,,,,,,
"Preijers, Paulus L.",False,,Pryers; Priors; Preyers; Prayers,,Paulis; Paul; Palus,,,,,,,,,,,,,,,Male,,,,Krefeld Congregation,,,P000576,,,,,,,1.0,,,,,,,
"Prescott, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001027,,,,,1.0,,,,,,,,,
"Preston, Rachael",True,,,,,,,,,,,,,,,,,,,Female,English,,,,,16046; 16048; 16049,P001115,,,,all 3 mentions of her are related to cider production by the Pembertons,1.0,,,,,,,,,
"Pronk, Aldert",False,,Pronck; Pronch; Prock; Prok,,Albert; Aeldert; Aelbert,,,,,,,,,,,,,,,Male,,,,,,,P000577,,,,,,,1.0,,,,,,,
"Purstan, John",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001028,,,,,1.0,,,,,,,,,
"Radcliffe, James",False,,Radcliff; Ratliff; Ratliffe,,,,,,,,,,,,,,,,,Male,English,Quaker,15951,,,15951; 15916; 15891,P000578,,,,,1.0,,,,,,,,,
"Rakestraw, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000579,,,,,1.0,,,,,,,,,
"Ramseier, Hans",False,,Ramsire; Ramseyer; Ramseijer; Ramseur; Ransier; Ramser; Ramsey,,Hannes; Hanß,,,,,,Switzerland,,,,,,,,,Male,German,Anabaptist,,,,,P000134,,,,,,,1.0,,,,,,,
"Randwijk, Jacob Van",False,,Randwyk; Rossum,,Jakob; Jacop; Jakop,,Lord,,,,"The Hague, Netherlands",Nationaal Archief,,,,,,Ambassador; Deputy,Nationaal Archief,Male,Dutch,,,States General,Nationaal Archief,,P001030,,,,,,,1.0,,,,,,,
"Ranst, Jan Van",False,,Vanranst; Rans; Ransz,,John; Johan; Johannes,,,,"Rotterdam, Netherlands","Rotterdam, Netherlands","Rotterdam, Netherlands",,1634,1684,,,,Flax-dealer; Preacher,,Male,Dutch,Mennonite,,Rotterdam Congregation; Rotterdam Waterlander Congregation,,,P001029,,,,,,,1.0,,,,,,,
"Ranstead, Caleb",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001031,,,,associated with Richard Johnson,1.0,,,,,,,,,
"Ratliff, John",False,,Ratliffe; Radcliff; Radcliffe; Ranliff; Rouliff,,Jan,,,,,,,,,,,,,,,Male,English,,,,,16175,P000810,,,,,1.0,,,,,,,,,
"Ray, Phebe",False,,,,Phoebe,,,,,,,,,,,,,,,Female,English,,,,,,P000582,,,,,1.0,,,,,,,,,
"Read, James",False,,Reed,,,,,"Pennsbury, Pennsylvania",,,"Pennsbury, Pennsylvania",,,,,,,gardener,15958,Male,English,,,,,,P000583,,,,,1.0,,,,,,,,,
"Rejers, Johannes",False,,Reijers; Reyers; Reegers; Ryers; Rijers,,John; Jan; Johan,,,,,,,,,,,,,,,Male,,,,,,15958,P000584,,,,,,,1.0,,,,,,,
"Renton, William",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001032,,,,,1.0,,,,,,,,,
"Reuszer, Michel",False,,Reuser; Rooszer; Rooser; Roozer; Roser; Reus; Roos; Risser,,Michael; Michele; Mikel,,,,,,,,,,,,,,,Male,,,,,,,P000585,,,,,,,1.0,,,,,,,
"Richardson, John",False,,,,Jonathan,,,,,,,,,,,,,,,Male,English,,,,,16160,P000353,,,,,1.0,,,,,,,,,
"Richardson, William",True,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000587,,,,,,1.0,,,,1.0,,,,
"Richen, Daniel",False,,Ricken; Riken; Richin; Rikin; Riche; Reich; Rijkens,,Daniele; Danielle; Danile,,,,,,"Rheinpfalz, Germany",,ca. 1681,ca. 1755,,,,Preacher,,Male,German,Amish; Mennonite,,,,,P000588,,,,,,,1.0,,,,,,,
"Ridgeway, James",True,AIN 4/14/2025,Ridgway,,,,,"Manchester, Lancashire, England [[England & Wales, Society Of Friends (Quaker) Births 1578-1841]]","Manchester, Lancashire, England [[England & Wales, Society Of Friends (Quaker) Births 1578-1841]]","Manchester, Lancashire, England	
[[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]","Manchester, Lancashire, England [[England & Wales, Society Of Friends (Quaker) Burials 1578-1841]]",,1665,1685,,15975,,,,Male,English,Quaker,,,,15975,P001034,,,,son of Ralph and Mary Scofield,1.0,,,,,,,,,
"Ridgeway Jr., Mary",True,,Ridgway,,,,,,,,,,,,"1681-08-18 [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837]]",,"Thomas Blaykling [[England & Wales, Quaker Birth, Marriage, and Death Registers, 1578-1837 ]]",,,Female,English,Quaker,,,,15975,P001120,,,,daughter of Ralph Ridgeway and Mary Scofield; married Thomas Blayking at Nehemiah Poole's house in Manchester,1.0,,,,,,,,,
"Ridgeway Jr., Ralph",False,,Ridgway,,,,Jr.,,,,,,,,,,,,,Male,English,Quaker,,,,15975,P000357,,,,,1.0,,,,,,,,,
"Ridgeway, Richard",False,,Ridgway,,,,,,,,,,,,,,,,,Male,English,Quaker,,,,15975,P000136,,,,,1.0,,,,,,,,,
"Rigby, Elizabeth",False,,Rigbie,,,Molyneaux,,"Blackrod, Lancashire, England",,,,,,,1675-05-26,marriage record in Research folder,,,,Female,English,,,,,15947,P001125,,,,,1.0,,,,,,,,,
"Rigby, Jonathan",False,,Rigbie,,John,,,"Blackrod, Lancashire, England; Wigan, Lancashire, England",,,,,1638,1709-05-25,1675-05-26,marriage record in Research folder,,,,Male,English,,,,,15947; 15945,P000590,,,,,1.0,,,,,,,,,
"Ripend, H",False,,,,,,,,,,,,,,,,,,,Male,,,,,,,,,,,"AMF - Unsure what Ripend's first inital is. ""H"" stands for ""Herr"", or ""Mr.""",,,,,1.0,,,,,
"Roberts, [R…]",False,,,,Robert; Richard,,,,,,,,,,,,,,,,English,,,,,,P000591,,,,,1.0,,,,,,,,,
"Robijn, Bartsolomusz",False,,Robin; Robyn; Roben; Raubin; Raubijn; Raubyn,,Bartholomeus; Bartholomew; Mewes,,,,,,,,,,,,,,,Male,,,,,,,,,,,,,,1.0,,,,,,,
"Robinson, Matthew",False,,Robison,,,,,,,,,,,,,,,,,Male,English,,,Cadzand Congregation,,,P001035,,,,,1.0,,,,,,,,,
"Robinson, Patrick",False,AIN 4/14/2025,Robison,,,,,"Philadelphia, Pennsylvania [[Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary]]; {{https://stars.library.ucf.edu/printmigrationnetwork-pemberton/198/}}",[Scotland] [[Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary]],"Philadelphia, Pennsylvania [[Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary]]","Bucks County, Pennsylvania [[Lawmaking and Lesiglators in Pennsylvania: A Biographical Dictionary]]",,1653 [[Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary]],1701-10-22 [[Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary]],,,Elizabeth ,legislator [[Lawmaking and Lesiglators in pennsylvania: A Biographical Dictionary]],,Male,English,Quaker,,,,15977,P000592,,,,,1.0,,,,,,,,,
"Robinson, Thomas",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,
"Rodman, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P000139,,,,,1.0,,,,,,,,,
"Roelofs, Jan",False,,Roeloffs; Rouliff; Raelofs,,John,,,"Emden, Germany",,,,15935,,,,,,,,Male,English,,,,,15913,P000141,,,,intends to marry Elizabeth Haesbaert (15935),1.0,,,,,,,,,
"Rogers, Thomas",False,,,,,,,"Bolton, Lancashire, England",,,,,,,,,,,,Male,English,,,,,,P000594,,,,,1.0,,,,,,,,,
"Rooleeuw, Anthony",False,,Roleeuw; Roole; Rollo,,Antoni; Antonius; Teunis,,,,,,"Amsterdam, Netherlands",,,,,,,Deacon; Textile merchant,,Male,Dutch,Mennonite,,Congregation of the Lam; Waterlander Congregation,,,,,,,,,,1.0,,,,,,,
"Rooleeuw, Jacob",False,,Roleeuw; Roole; Rollo,,Jakop; Jakop; Jacop,,,,,,,,,,,,,,,Male,,,,Congregation of the Toren,,,P001036,,,,,,,1.0,,,,,,,
"Roosen, Gerrit",False,,Rosen; Rooszen; Reusen; Roos; Rose; Rozen,,Gerrett; Geret; Gerard; Gerart; Gerhard,,,,"Altona, Germany","Altona, Germany","Blömken Street, Hamburg, Germany",,1612-03-08,1711-11-20,1640,,,Businessman; Deacon; Preacher; Elder,,Male,German; Dutch,Mennonite,,Hamburg-Altona Congregation,,,P001037,,,,,,,1.0,,,,,,,
"Rookby, Thomas",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001104,,,,,,1.0,,,,1.0,,,,
"Roper, Richard",False,,,,,,,,,,,,,,,,,,,Male,English,,,,,,P001038,N/A,N/A,N/A,,,1.0,,,,1.0,,,,
"Roscoe, Robert",False,,Roscowe; Roscow,,,,,,,,,,,,,,,,,Male,English,,,,,,P000596,,,,,1.0,,,,,,,,,
